Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
235,3,True,True,True,Gheitarieh,24000000000,800000
235,3,True,True,True,Gheitarieh,25500000000,850000
235,3,True,True,True,Niavaran,31000000000,1033333.33
235,3,True,True,True,Niavaran,28500000000,950000
232,3,True,True,True,Farmanieh,23000000000,766666.67
231,3,True,True,True,Zaferanieh,43197000000,1439900
230,3,True,True,True,Niavaran,25300000000,843333.33
230,3,True,True,True,Ekhtiarieh,19300000000,643333.33
230,3,True,True,True,Heravi,13800000000,460000
230,3,True,True,True,Farmanieh,23000000000,766666.67
230,3,True,True,True,Farmanieh,22000000000,733333.33
230,3,True,True,True,Farmanieh,20700000000,690000
228,3,True,True,True,Zaferanieh,20292000000,676400
226,4,True,True,True,Mahmoudieh,17000000000,566666.67
225,3,True,True,True,Heravi,15750000000,525000
225,4,True,True,False,Andisheh,5500000000,183333.33
225,3,True,True,True,Heravi,15750000000,525000
225,3,True,True,True,Farmanieh,38500000000,1283333.33
225,4,True,True,True,Kamranieh,20250000000,675000
222,3,True,True,True,Gheitarieh,19800000000,660000
221,4,True,True,True,Saadat Abad,25000000000,833333.33
220,3,True,True,True,Heravi,15400000000,513333.33
220,3,True,True,True,Ekhtiarieh,15000000000,500000
220,3,True,True,True,Elahieh,35200000000,1173333.33
220,3,True,True,True,Heravi,15400000000,513333.33
220,3,True,True,True,Aqdasieh,35000000000,1166666.67
220,3,True,True,True,Niavaran,19800000000,660000
220,3,True,True,True,Kamranieh,33600000000,1120000
220,4,True,True,False,Shahryar,7500000000,250000
220,5,True,False,False,Andisheh,6500000000,216666.67
220,3,True,True,True,Niavaran,20900000000,696666.67
220,3,True,True,True,Jordan,13500000000,450000
220,4,True,True,False,Azarbaijan,15000000000,500000
216,4,True,True,False,Andisheh,5700000000,190000
216,4,True,True,False,Andisheh,5700000000,190000
215,3,True,True,True,Pakdasht,1750000000,58333.33
213,3,True,True,True,East Ferdows Boulevard,14484000000,482800
212,4,True,True,False,Farmanieh,36000000000,1200000
211,3,True,True,True,Marzdaran,15800000000,526666.67
210,3,True,True,True,Pasdaran,15750000000,525000
210,3,True,True,True,Shahrake Gharb,27000000000,900000
210,3,True,True,True,Farmanieh,23100000000,770000
210,4,True,True,True,Saadat Abad,15500000000,516666.67
210,3,True,True,True,Gheitarieh,14000000000,466666.67
210,4,True,True,True,Niavaran,21000000000,700000
210,3,True,True,True,Saadat Abad,16400000000,546666.67
210,4,True,True,False,Narmak,23000000000,766666.67
210,3,True,True,True,Kamranieh,34560000000,1152000
210,3,True,True,True,Farmanieh,33600000000,1120000
209,3,True,True,True,West Ferdows Boulevard,13000000000,433333.33
208,2,True,True,False,Persian Gulf Martyrs Lake,11500000000,383333.33
205,3,True,True,True,Farmanieh,20000000000,666666.67
204,3,True,True,True,Elahieh,32640000000,1088000
203,3,True,True,True,Zaferanieh,36000000000,1200000
203,3,True,True,True,Araj,13800000000,460000
202,3,True,True,True,Air force,7474000000,249133.33
202,3,False,False,False,Araj,13300000000,443333.33
202,3,True,True,True,Aqdasieh,13200000000,440000
202,3,False,False,False,Araj,13500000000,450000
202,3,True,True,True,Araj,13700000000,456666.67
202,3,True,True,True,Aqdasieh,14700000000,490000
202,3,True,True,True,Araj,14300000000,476666.67
201,3,True,True,True,Aqdasieh,14200000000,473333.33
200,3,True,True,True,Pasdaran,12000000000,400000
200,3,True,True,True,Golestan,2400000000,80000
200,2,True,True,False,Damavand,3500000000,116666.67
200,3,True,True,True,East Ferdows Boulevard,11000000000,366666.67
200,3,True,True,True,Pasdaran,17000000000,566666.67
200,3,True,True,True,Pasdaran,16580000000,552666.67
200,3,True,True,True,Saadat Abad,12000000000,400000
200,3,True,True,True,Farmanieh,35000000000,1166666.67
200,3,True,True,True,Pasdaran,22000000000,733333.33
200,4,True,True,True,Saadat Abad,15000000000,500000
200,3,True,True,True,Farmanieh,20000000000,666666.67
200,3,True,True,True,Niavaran,20000000000,666666.67
200,4,True,True,True,Gheitarieh,14000000000,466666.67
200,3,True,False,True,West Pars,10000000000,333333.33
200,3,True,True,True,Ozgol,18000000000,600000
200,3,True,True,True,Southern Chitgar,5000000000,166666.67
200,3,True,True,True,Farmanieh,35000000000,1166666.67
200,3,True,True,True,Aqdasieh,34800000000,1160000
200,3,True,True,True,Kook,12000000000,400000
200,3,True,True,True,Heravi,14950000000,498333.33
200,3,True,True,True,Zaferanieh,24000000000,800000
200,2,True,True,False,Andisheh,2000000000,66666.67
200,3,True,True,True,Heravi,14000000000,466666.67
200,3,True,True,True,Saadat Abad,16000000000,533333.33
200,3,True,True,True,Gheitarieh,16000000000,533333.33
200,3,True,True,True,Ajudaniye,27000000000,900000
200,3,True,True,True,Aqdasieh,13300000000,443333.33
200,3,True,True,True,Araj,13700000000,456666.67
200,3,True,True,True,Araj,13300000000,443333.33
200,3,True,True,True,Aqdasieh,13400000000,446666.67
200,3,True,True,True,Aqdasieh,14000000000,466666.67
200,5,False,False,False,Dehkade Olampic,12000000000,400000
200,3,True,True,True,Sadeghieh,7000000000,233333.33
200,3,True,True,True,Niavaran,29000000000,966666.67
200,3,True,True,True,Niavaran,14000000000,466666.67
200,2,False,False,False,Kahrizak,2650000000,88333.33
200,3,True,True,True,Niavaran,34000000000,1133333.33
200,3,True,True,True,Shahrake Gharb,14000000000,466666.67
200,4,True,True,True,Niavaran,15000000000,500000
200,2,False,False,False,Rudhen,2850000000,95000
198,3,True,True,True,Farmanieh,27720000000,924000
198,3,True,True,True,Gheitarieh,13500000000,450000
198,4,True,True,False,Andisheh,5200000000,173333.33
198,3,True,True,True,Ekhtiarieh,18000000000,600000
197,3,True,True,True,Dezashib,18715000000,623833.33
197,3,True,True,True,Gheitarieh,13300000000,443333.33
197,3,True,True,True,Marzdaran,15563000000,518766.67
195,3,True,True,True,Velenjak,19500000000,650000
195,3,True,True,True,Gheitarieh,19000000000,633333.33
195,3,True,True,True,Shahrake Gharb,19500000000,650000
195,3,True,True,True,Farmanieh,17280000000,576000
195,3,True,True,True,Gheitarieh,19900000000,663333.33
195,3,True,True,True,Gheitarieh,19500000000,650000
194,2,True,True,True,Niavaran,19845000000,661500
194,3,True,True,True,Niavaran,19858000000,661933.33
193,3,True,True,True,Kook,13000000000,433333.33
193,3,True,True,True,Kook,13000000000,433333.33
192,3,True,True,True,Marzdaran,12670000000,422333.33
192,3,True,True,True,Saadat Abad,19500000000,650000
192,4,True,True,True,Saadat Abad,22000000000,733333.33
192,3,True,True,True,Kamranieh,33490000000,1116333.33
191,3,True,True,True,Farmanieh,18145000000,604833.33
190,3,True,True,True,Kamranieh,24300000000,810000
190,3,True,True,True,Niavaran,24700000000,823333.33
190,3,True,True,True,Dorous,12000000000,400000
190,3,True,True,True,Punak,11400000000,380000
190,3,True,True,True,Gheitarieh,14000000000,466666.67
190,3,True,True,True,Kook,13000000000,433333.33
190,3,True,True,True,Zaferanieh,13000000000,433333.33
190,3,True,True,True,Gheitarieh,15500000000,516666.67
190,3,True,True,True,Farmanieh,25000000000,833333.33
190,3,True,True,True,Aqdasieh,24000000000,800000
190,3,True,True,True,Gheitarieh,12000000000,400000
190,3,True,True,True,East Ferdows Boulevard,9500000000,316666.67
190,3,True,True,True,Niavaran,15200000000,506666.67
190,3,True,True,True,Pasdaran,12350000000,411666.67
188,3,True,True,True,Ozgol,17672000000,589066.67
186,3,True,True,True,Pasdaran,9300000000,310000
186,3,True,True,True,Velenjak,15000000000,500000
185,3,True,True,True,Zargandeh,9000000000,300000
185,3,True,True,True,Pasdaran,10750000000,358333.33
185,3,True,True,True,Pasdaran,13000000000,433333.33
185,3,True,True,True,East Ferdows Boulevard,9500000000,316666.67
185,3,True,True,True,Ekhtiarieh,16200000000,540000
182,3,True,True,True,Saadat Abad,11500000000,383333.33
182,3,True,True,True,Marzdaran,11600000000,386666.67
181,3,True,True,True,Marzdaran,13000000000,433333.33
181,3,True,True,True,Velenjak,13600000000,453333.33
181,3,True,True,True,Marzdaran,13000000000,433333.33
180,3,True,True,True,Pasdaran,9900000000,330000
180,3,True,True,True,Farmanieh,20700000000,690000
180,3,True,True,True,Pasdaran,9900000000,330000
180,3,True,True,True,East Ferdows Boulevard,9360000000,312000
180,3,True,True,True,Aqdasieh,12600000000,420000
180,3,True,True,True,East Ferdows Boulevard,9900000000,330000
180,3,True,True,True,Pasdaran,9900000000,330000
180,3,True,True,True,Pasdaran,9900000000,330000
180,3,True,True,True,Ajudaniye,13500000000,450000
180,3,True,True,True,Saadat Abad,14500000000,483333.33
180,3,True,True,True,Saadat Abad,13500000000,450000
180,3,True,True,True,Saadat Abad,13500000000,450000
180,5,True,True,False,Shahrake Gharb,28800000000,960000
180,3,True,True,True,Pasdaran,13000000000,433333.33
180,4,True,True,True,Northern Chitgar,2720000000,90666.67
180,3,True,True,True,Niavaran,16000000000,533333.33
180,4,True,True,True,Persian Gulf Martyrs Lake,2720000000,90666.67
180,2,True,True,False,Parand,2100000000,70000
180,3,True,True,True,Kamranieh,14000000000,466666.67
180,3,True,True,False,Marzdaran,10800000000,360000
179,3,True,True,True,Dorous,13800000000,460000
179,3,True,True,True,Pasdaran,9645000000,321500
179,3,True,True,True,Velenjak,8055000000,268500
177,3,True,True,True,Velenjak,21700000000,723333.33
176,2,True,True,False,Islamshahr,2800000000,93333.33
175,3,True,True,True,Farmanieh,15600000000,520000
175,3,True,True,True,Shahrake Gharb,22750000000,758333.33
175,3,True,True,True,Heravi,9450000000,315000
175,3,True,True,True,Shahrake Gharb,9300000000,310000
175,3,True,True,True,Gheitarieh,15225000000,507500
175,3,True,True,True,Gheitarieh,15500000000,516666.67
175,3,True,True,True,Pasdaran,15500000000,516666.67
175,3,True,True,True,Marzdaran,11375000000,379166.67
175,3,True,True,True,Farmanieh,22000000000,733333.33
175,3,True,True,True,Elahieh,17500000000,583333.33
175,3,True,True,True,Waterfall,8600000000,286666.67
175,3,True,True,True,Kamranieh,17000000000,566666.67
175,3,True,True,True,Kook,10500000000,350000
175,3,True,True,True,ShahrAra,7800000000,260000
174,3,True,True,True,Valiasr,10000000000,333333.33
173,3,True,True,True,East Ferdows Boulevard,9515000000,317166.67
173,3,True,True,True,Niavaran,11000000000,366666.67
172,3,True,True,True,Heravi,9300000000,310000
171,3,True,True,True,Gheitarieh,14000000000,466666.67
171,3,True,True,True,Jordan,8900000000,296666.67
171,3,True,True,True,Elahieh,12825000000,427500
171,2,False,True,False,Elahieh,11500000000,383333.33
170,3,True,True,True,Farmanieh,15350000000,511666.67
170,3,True,True,True,Gheitarieh,15400000000,513333.33
170,3,True,True,True,Mahallati,9200000000,306666.67
170,2,True,True,True,Farmanieh,12400000000,413333.33
170,3,True,True,True,Niavaran,18700000000,623333.33
170,2,True,True,True,Kook,7140000000,238000
170,2,True,True,True,Zaferanieh,32000000000,1066666.67
170,3,True,True,True,Zaferanieh,19000000000,633333.33
170,3,True,True,True,Farmanieh,18700000000,623333.33
170,3,True,True,True,Pasdaran,10800000000,360000
170,3,True,True,True,Heravi,7950000000,265000
170,3,True,True,True,Niavaran,17000000000,566666.67
170,3,True,True,True,Punak,9350000000,311666.67
170,3,True,True,True,Niavaran,14000000000,466666.67
170,3,False,False,False,Velenjak,15700000000,523333.33
170,3,True,True,True,Niavaran,22100000000,736666.67
170,4,True,True,True,Andisheh,3060000000,102000
170,3,True,True,True,Ekhtiarieh,7800000000,260000
170,3,False,False,False,Gheitarieh,14500000000,483333.33
170,3,True,True,True,Gheitarieh,11200000000,373333.33
170,3,True,True,True,Pakdasht,1280000000,42666.67
170,3,True,True,True,Niavaran,22100000000,736666.67
170,3,True,True,True,Heravi,7990000000,266333.33
170,3,True,True,True,North Program Organization,8000000000,266666.67
170,3,True,True,True,Mirdamad,11800000000,393333.33
168,3,True,True,True,Gheitarieh,14000000000,466666.67
168,3,True,True,True,Aqdasieh,16000000000,533333.33
167,3,True,True,True,Punak,10688000000,356266.67
167,3,True,True,True,Gheitarieh,11000000000,366666.67
166,3,True,True,True,Qalandari,12500000000,416666.67
165,3,True,True,True,Gheitarieh,12300000000,410000
165,3,True,True,True,Pasdaran,10500000000,350000
165,3,True,True,True,Shahrake Gharb,14800000000,493333.33
165,3,True,True,True,Niavaran,17200000000,573333.33
165,3,True,True,True,Ostad Moein,5250000000,175000
165,3,True,True,True,Marzdaran,10230000000,341000
165,3,True,True,True,Shahrake Gharb,12400000000,413333.33
165,3,True,True,True,Farmanieh,11500000000,383333.33
165,2,True,True,True,Pakdasht,1200000000,40000
165,3,True,True,True,Aqdasieh,20000000000,666666.67
165,3,True,True,True,Saadat Abad,10500000000,350000
165,3,True,True,True,Pakdasht,1000000000,33333.33
165,3,True,True,True,Gheitarieh,9850000000,328333.33
165,3,False,True,False,Heshmatieh,4125000000,137500
165,3,False,True,False,Heshmatieh,4125000000,137500
165,3,True,True,True,Niavaran,17655000000,588500
165,3,True,True,True,Gheitarieh,12300000000,410000
165,3,True,True,True,Shahrake Gharb,18150000000,605000
164,3,True,True,True,Marzdaran,10000000000,333333.33
164,3,True,True,True,East Ferdows Boulevard,9840000000,328000
163,3,True,True,True,Marzdaran,11100000000,370000
163,2,True,True,True,Farmanieh,9780000000,326000
162,3,True,True,True,Shahrake Gharb,12150000000,405000
162,3,True,True,True,Pasdaran,7600000000,253333.33
162,3,True,True,True,Niavaran,16300000000,543333.33
161,3,True,True,True,Persian Gulf Martyrs Lake,8350000000,278333.33
161,3,True,True,True,Dorous,13000000000,433333.33
161,3,True,True,True,Gheitarieh,15350000000,511666.67
161,3,True,True,True,Persian Gulf Martyrs Lake,6400000000,213333.33
160,3,True,True,True,Velenjak,14945000000,498166.67
160,1,False,False,False,Qarchak,3600000,120
160,3,True,True,True,Gheitarieh,15100000000,503333.33
160,3,True,True,True,Farmanieh,17600000000,586666.67
160,3,True,True,True,Gheitarieh,10000000000,333333.33
160,2,True,True,True,Pasdaran,16200000000,540000
160,2,True,True,True,Pardis,1930000000,64333.33
160,2,True,True,True,Pardis,1930000000,64333.33
160,2,True,True,True,Pardis,2000000000,66666.67
160,3,True,True,True,Velenjak,10700000000,356666.67
160,3,True,True,True,Shahrake Gharb,12500000000,416666.67
160,3,True,True,True,Amirabad,8320000000,277333.33
160,3,True,True,True,Saadat Abad,13500000000,450000
160,3,True,True,True,Kamranieh,13120000000,437333.33
160,3,True,True,True,Niavaran,18400000000,613333.33
160,2,True,True,True,Yousef Abad,8600000000,286666.67
160,3,True,True,True,Gheitarieh,9800000000,326666.67
160,3,False,True,False,Pakdasht,910000000,30333.33
160,3,True,True,True,Andisheh,3000000000,100000
160,3,True,True,True,Niavaran,16800000000,560000
160,3,True,True,True,Heravi,7000000000,233333.33
160,3,True,True,True,Velenjak,9600000000,320000
160,3,True,True,True,Gheitarieh,10200000000,340000
160,3,True,True,True,Persian Gulf Martyrs Lake,6700000000,223333.33
160,3,True,True,False,Azadshahr,4500000000,150000
160,3,True,True,True,Niavaran,17500000000,583333.33
160,3,True,True,True,Azarbaijan,3000000000,100000
160,3,True,True,True,Pakdasht,980000000,32666.67
160,5,True,True,False,Yousef Abad,18000000000,600000
158,3,True,True,True,Farmanieh,10480000000,349333.33
158,3,True,True,True,Pasdaran,11060000000,368666.67
157,3,True,True,True,Zaferanieh,14800000000,493333.33
157,3,True,True,True,Shahrake Gharb,18500000000,616666.67
157,3,True,True,True,Heravi,9850000000,328333.33
157,3,True,True,True,Gheitarieh,13600000000,453333.33
157,3,True,True,True,Marzdaran,10200000000,340000
156,3,True,True,True,Abazar,9400000000,313333.33
155,3,True,True,True,Narmak,6700000000,223333.33
155,3,True,True,True,Niavaran,17050000000,568333.33
155,3,True,True,True,Heravi,8600000000,286666.67
155,3,True,True,True,Shahrake Gharb,10000000000,333333.33
155,3,True,True,True,Gheitarieh,9800000000,326666.67
155,3,True,True,True,Shahrake Gharb,9300000000,310000
155,3,True,True,True,Shahrake Gharb,10000000000,333333.33
155,3,True,True,True,West Ferdows Boulevard,5000000000,166666.67
155,2,True,True,True,Pardis,1900000000,63333.33
155,3,True,True,True,Gheitarieh,14700000000,490000
155,3,True,True,True,Dorous,9800000000,326666.67
155,3,True,True,True,Pasdaran,13175000000,439166.67
155,3,True,True,True,Shahrake Gharb,9000000000,300000
155,3,True,True,True,Heravi,9000000000,300000
155,3,True,True,True,Gheitarieh,11000000000,366666.67
155,3,True,True,True,North Program Organization,5100000000,170000
155,3,True,True,True,North Program Organization,5300000000,176666.67
155,3,True,True,True,Gheitarieh,13000000000,433333.33
155,3,True,True,True,Jordan,13950000000,465000
154,3,True,True,True,Saadat Abad,12300000000,410000
154,3,True,True,True,Ostad Moein,4000000000,133333.33
153,3,True,True,True,Pasdaran,13000000000,433333.33
153,2,True,True,True,Gheitarieh,13300000000,443333.33
153,3,True,True,True,Gheitarieh,13000000000,433333.33
153,2,True,True,True,Aqdasieh,10500000000,350000
153,3,True,True,True,Punak,7500000000,250000
152,3,True,True,True,Saadat Abad,9800000000,326666.67
151,3,True,True,True,Saadat Abad,10200000000,340000
151,3,True,True,True,Saadat Abad,10200000000,340000
151,3,True,True,True,Shahrake Qods,1510000000,50333.33
150,2,False,True,True,Shahrake Qods,1200000000,40000
150,3,True,True,True,Farmanieh,10000000000,333333.33
150,3,True,True,True,Sadeghieh,6000000000,200000
150,3,True,True,True,Saadat Abad,20000000000,666666.67
150,3,True,True,True,Zaferanieh,10490000000,349666.67
150,3,True,True,True,Karimkhan,7800000000,260000
150,3,True,True,True,Saadat Abad,12000000000,400000
150,3,True,True,True,Narmak,8400000000,280000
150,3,True,True,True,Pasdaran,13000000000,433333.33
150,3,True,True,True,Ekhtiarieh,12000000000,400000
150,3,True,True,True,Gheitarieh,9000000000,300000
150,3,True,True,True,Gheitarieh,12500000000,416666.67
150,3,True,True,True,Beryanak,2800000000,93333.33
150,3,True,True,True,Pirouzi,5100000000,170000
150,2,False,True,True,Chardangeh,1200000000,40000
150,3,True,True,True,Niavaran,15000000000,500000
150,3,False,False,False,Gheitarieh,10500000000,350000
150,3,True,True,True,Shahrake Gharb,12000000000,400000
150,3,True,True,True,Pasdaran,11456000000,381866.67
150,3,True,True,True,Sadeghieh,5400000000,180000
150,3,True,True,True,Gheitarieh,11000000000,366666.67
150,2,True,True,True,Gheitarieh,13000000000,433333.33
150,3,True,True,True,Punak,9400000000,313333.33
150,3,True,True,True,Saadat Abad,14800000000,493333.33
150,3,True,True,True,Ekhtiarieh,9500000000,316666.67
150,3,True,True,True,Gheitarieh,13000000000,433333.33
150,3,True,True,True,Saadat Abad,9500000000,316666.67
150,3,True,True,True,Punak,10500000000,350000
150,3,True,True,True,West Ferdows Boulevard,7200000000,240000
150,3,True,True,True,Gheitarieh,14500000000,483333.33
150,2,True,True,True,Aqdasieh,10500000000,350000
150,2,True,True,True,Araj,10500000000,350000
150,3,True,True,True,Saadat Abad,20000000000,666666.67
150,2,True,True,True,Pakdasht,1270000000,42333.33
150,3,True,True,True,Shahrake Gharb,12350000000,411666.67
150,2,True,True,True,Zaferanieh,15000000000,500000
150,3,True,True,True,Salsabil,4500000000,150000
150,3,True,True,True,Punak,6800000000,226666.67
150,5,True,True,False,Shahr-e-Ziba,10700000000,356666.67
150,3,True,True,True,Northern Chitgar,2240000000,74666.67
150,3,True,True,True,Heravi,7600000000,253333.33
150,3,True,True,True,Dezashib,12000000000,400000
150,3,True,True,True,Pardis,3900000000,130000
150,3,False,True,False,Zafar,6000000000,200000
150,3,True,True,True,Pasdaran,9750000000,325000
150,3,True,True,True,Persian Gulf Martyrs Lake,765000000,25500
150,3,True,True,True,Tajrish,12750000000,425000
150,3,True,True,True,Yousef Abad,11000000000,366666.67
150,3,True,True,False,Elahieh,11760000000,392000
150,2,True,True,True,Mirdamad,8200000000,273333.33
150,3,True,True,True,Niavaran,11000000000,366666.67
149,3,True,True,True,West Ferdows Boulevard,8642000000,288066.67
149,3,True,True,False,Mirdamad,9238000000,307933.33
149,3,True,True,True,Parand,2100000000,70000
148,3,True,True,True,Daryan No,5990000000,199666.67
148,3,True,True,True,Ekhtiarieh,8400000000,280000
148,3,True,True,True,Saadat Abad,14800000000,493333.33
148,2,True,False,True,Koohsar,4500000000,150000
148,3,True,True,True,Persian Gulf Martyrs Lake,5750000000,191666.67
148,3,True,True,True,Saadat Abad,12500000000,416666.67
148,3,True,True,True,Saadat Abad,12580000000,419333.33
148,3,True,True,True,Yousef Abad,8140000000,271333.33
148,3,True,True,True,Daryan No,6000000000,200000
147,3,True,True,True,Ekhtiarieh,8400000000,280000
147,3,True,True,True,Elahieh,11500000000,383333.33
147,3,True,True,True,Jordan,8700000000,290000
147,3,True,True,True,Heravi,9100000000,303333.33
147,3,True,True,True,Ekhtiarieh,9600000000,320000
147,3,True,True,True,Pasdaran,8350000000,278333.33
147,3,True,True,True,Yousef Abad,11600000000,386666.67
147,3,True,True,True,Saadat Abad,9114000000,303800
146,3,True,True,True,Marzdaran,8500000000,283333.33
146,3,True,True,True,Heravi,7600000000,253333.33
146,3,True,True,True,Saadat Abad,10800000000,360000
145,3,True,True,True,Haft Tir,4700000000,156666.67
145,3,True,True,True,Pasdaran,15500000000,516666.67
145,2,True,True,True,Shahrake Gharb,14700000000,490000
